TimeWindow  Iteration  ResRel(Displacement)  ResRel(Force)  
    44       1   5.05612272e-02   9.69862189e-01  
    44       2   1.39553217e-03   4.96138162e-02  
    44       3   2.72031691e-04   1.04047550e-02  
    44       4   1.01876088e-04   1.96164179e-03  
    44       5   3.41350122e-05   7.70749628e-04  
    44       6   1.23964867e-05   4.64390937e-04  
    44       7   4.93362126e-06   2.04271134e-04  
    44       8   1.72855580e-06   1.38812791e-04  
    44       9   6.34955230e-07   1.83783881e-05  
    45       1   5.01856700e-02   9.69642631e-01  
    45       2   1.26408104e-03   4.11904271e-02  
    45       3   2.41860856e-04   4.13518374e-02  
    45       4   1.06837880e-04   5.67061849e-03  
    45       5   4.33897929e-05   1.49604037e-03  
    45       6   1.49089118e-05   2.55838390e-04  
    45       7   4.65054698e-06   8.98806884e-05  
    45       8   1.55272216e-06   3.93848732e-05  
    45       9   6.28860334e-07   4.94276296e-05  
    46       1   4.99912853e-02   9.69508266e-01  
    46       2   1.10459490e-03   3.41531356e-02  
    46       3   2.61801140e-04   1.29525925e-02  
    46       4   1.01139513e-04   1.17610392e-02  
    46       5   4.56696259e-05   1.91026406e-03  
    46       6   1.36574457e-05   4.83763712e-04  
    46       7   4.76856744e-06   1.39108212e-04  
    46       8   1.83292817e-06   2.12372086e-04  
    46       9   6.94177645e-07   5.84347570e-05  
    47       1   5.00359401e-02   9.69488089e-01  
    47       2   1.11053065e-03   3.41230440e-02  
    47       3   1.67105101e-04   2.35970364e-02  
    47       4   6.06280159e-05   1.66615621e-03  
    47       5   2.04193770e-05   1.44706162e-03  
    47       6   6.97957167e-06   7.18738809e-04  
    47       7   2.77616289e-06   1.64946259e-04  
    47       8   1.02779053e-06   1.76821732e-05  
    47       9   3.97022130e-07   1.31851940e-05  
    48       1   5.03593331e-02   9.69617397e-01  
    48       2   8.80263081e-04   3.22927096e-02  
    48       3   1.37892051e-04   2.57486924e-02  
    48       4   6.25174679e-05   5.30670260e-04  
    48       5   1.59707697e-05   5.87559195e-04  
    48       6   6.20946544e-06   5.95815865e-04  
    48       7   2.27055940e-06   1.37440131e-04  
    48       8   8.48258812e-07   1.64405732e-04  
    49       1   5.09899733e-02   9.69931969e-01  
    49       2   9.44703756e-04   2.08036825e-02  
    49       3   1.15685055e-04   1.44324376e-02  
    49       4   5.18197872e-05   2.32471386e-03  
    49       5   1.31282364e-05   5.19682224e-04  
    49       6   4.79813265e-06   2.83001266e-04  
    49       7   1.97681275e-06   2.15668942e-05  
    49       8   5.00616677e-07   2.54544444e-05  
    50       1   5.19410347e-02   9.70449061e-01  
    50       2   1.01523976e-03   3.36387658e-02  
    50       3   1.34519711e-04   7.94435044e-03  
    50       4   5.15361882e-05   4.15762843e-03  
    50       5   1.77935468e-05   5.97635491e-04  
    50       6   4.98896645e-06   1.27434306e-04  
    50       7   1.72010924e-06   2.64428377e-05  
    50       8   5.19111066e-07   9.67935194e-06  
    51       1   5.31953771e-02   9.71240265e-01  
    51       2   9.57169709e-04   1.38423949e-02  
    51       3   6.66466519e-05   5.63653938e-03  
    51       4   2.65839470e-05   2.58958921e-03  
    51       5   9.79769829e-06   8.20940321e-04  
    51       6   3.92851293e-06   5.32270399e-05  
    51       7   1.05810222e-06   1.12633593e-04  
    51       8   4.00504016e-07   1.08928579e-05  
    52       1   5.47337966e-02   9.72349222e-01  
    52       2   1.00807354e-03   3.33618705e-02  
    52       3   6.93176153e-05   4.49783284e-03  
    52       4   2.86328279e-05   1.49668041e-03  
    52       5   1.09853113e-05   9.06176703e-04  
    52       6   4.15609158e-06   4.75567627e-04  
    52       7   1.66172442e-06   2.11165830e-04  
    52       8   8.42292876e-07   3.13486007e-05  
    53       1   5.65199576e-02   9.73820723e-01  
    53       2   1.09761933e-03   4.47105253e-02  
    53       3   1.33561768e-04   6.49393923e-03  
    53       4   4.67645838e-05   1.96236791e-03  
    53       5   2.15978143e-05   1.89523933e-04  
    53       6   5.60583474e-06   1.63615400e-04  
    53       7   2.08420787e-06   1.49645340e-04  
    53       8   8.46396295e-07   4.52337063e-05  
    54       1   5.85034404e-02   9.75707712e-01  
    54       2   1.03604707e-03   4.19378535e-02  
    54       3   1.68339359e-04   1.01713956e-02  
