Time  Coordinate0  Coordinate1  Coordinate2  Displacement0  Displacement1  Displacement2  Force0  Force1  Force2  
 2.87500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   2.32240446e-07   3.82850109e-06  -3.20578770e-05   1.93268158e-06   2.10877345e-05   2.10669337e-07  
 2.90000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   2.39705382e-07   3.98028414e-06  -3.28753788e-05   1.97722602e-06   2.18066324e-05   2.13892863e-07  
 2.92500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   2.47411913e-07   4.13782690e-06  -3.36948080e-05   2.00539106e-06   2.22285623e-05   2.16885638e-07  
 2.95000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   2.55346292e-07   4.30076751e-06  -3.45159160e-05   2.03821362e-06   2.27186649e-05   2.20014767e-07  
 2.97500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   2.63529300e-07   4.46962103e-06  -3.53384744e-05   2.07905437e-06   2.33828384e-05   2.23423497e-07  
 3.00000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   2.71957141e-07   4.64429528e-06  -3.61622503e-05   2.11184134e-06   2.38828508e-05   2.26728691e-07  
 3.02500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   2.80557775e-07   4.82510263e-06  -3.69870083e-05   2.12757304e-06   2.42785718e-05   2.30413580e-07  
 3.05000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   2.89322205e-07   5.01207590e-06  -3.78125271e-05   2.15446211e-06   2.50379958e-05   2.34954757e-07  
 3.07500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   2.98259766e-07   5.20532555e-06  -3.86385861e-05   2.15314067e-06   2.53326709e-05   2.39150409e-07  
 3.10000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   3.07398824e-07   5.40518132e-06  -3.94649643e-05   2.17197374e-06   2.60857745e-05   2.44112907e-07  
 3.12500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   3.16843963e-07   5.61154033e-06  -4.02914571e-05   2.18697884e-06   2.65433665e-05   2.48332668e-07  
 3.15000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   3.26634388e-07   5.82462623e-06  -4.11178515e-05   2.23216889e-06   2.74540600e-05   2.52957302e-07  
 3.17500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   3.36789030e-07   6.04472039e-06  -4.19439461e-05   2.26655445e-06   2.80710975e-05   2.57093095e-07  
 3.20000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   3.47298800e-07   6.27192542e-06  -4.27695270e-05   2.29256854e-06   2.84733594e-05   2.60916896e-07  
 3.22500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   3.58136973e-07   6.50632616e-06  -4.35943920e-05   2.34426800e-06   2.93780272e-05   2.65644959e-07  
 3.25000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   3.69274589e-07   6.74797543e-06  -4.44183460e-05   2.37498146e-06   2.98841267e-05   2.69888299e-07  
 3.27500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   3.80692652e-07   6.99697977e-06  -4.52411884e-05   2.41981165e-06   3.07016204e-05   2.74820678e-07  
 3.30000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   3.92389606e-07   7.25360375e-06  -4.60627353e-05   2.47050696e-06   3.16679878e-05   2.80156976e-07  
 3.32500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   4.04359943e-07   7.51769232e-06  -4.68828099e-05   2.50523063e-06   3.23294197e-05   2.85114669e-07  
 3.35000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   4.16616450e-07   7.78939407e-06  -4.77012305e-05   2.53795851e-06   3.29575380e-05   2.90094856e-07  
