TimeWindow  Iteration  ResRel(Displacement)  ResRel(Force)  
    23      13   3.94099785e-06   1.48502860e-03  
    23      14   2.07944083e-06   1.14440848e-03  
    23      15   1.15172958e-06   7.88345740e-04  
    23      16   6.61003415e-07   3.88412378e-04  
    24       1   6.67932134e-02   9.95149472e-01  
    24       2   8.24950320e-03   1.50126613e-01  
    24       3   8.25948615e-04   4.13774268e-01  
    24       4   7.09853186e-04   1.73517009e-01  
    24       5   3.41368911e-04   9.29071118e-02  
    24       6   2.10656108e-04   7.00364963e-02  
    24       7   1.07125474e-04   2.69175929e-02  
    24       8   4.71773546e-05   2.63676859e-02  
    24       9   2.54754143e-05   1.25197737e-02  
    24      10   1.53328680e-05   3.58793067e-03  
    24      11   9.53495334e-06   2.88525862e-03  
    24      12   4.33270207e-06   1.63998002e-03  
    24      13   2.10017398e-06   1.19383403e-03  
    24      14   1.24577866e-06   2.30205375e-04  
    24      15   6.46624676e-07   5.60825193e-05  
    25       1   6.40188789e-02   9.95182546e-01  
    25       2   8.01238067e-03   4.69509481e-01  
    25       3   1.09231249e-03   6.67120229e-01  
    25       4   7.83833114e-04   1.00611203e-01  
    25       5   3.84587788e-04   1.94708210e-01  
    25       6   1.96516605e-04   3.22587572e-02  
    25       7   1.16128668e-04   5.72752541e-02  
    25       8   6.38338543e-05   2.89610432e-02  
    25       9   4.03892897e-05   1.52616376e-02  
    25      10   2.32437833e-05   2.66936053e-03  
    25      11   1.07950396e-05   1.67159678e-03  
    25      12   5.56235694e-06   1.43832671e-03  
    25      13   2.72275859e-06   3.66112615e-04  
    25      14   1.32588486e-06   4.02208784e-04  
    25      15   7.38064607e-07   2.26266498e-04  
    26       1   6.14318371e-02   9.95215881e-01  
    26       2   7.24965845e-03   5.81293713e-01  
    26       3   1.50929900e-03   6.14558591e-01  
    26       4   1.01242293e-03   1.08594346e-01  
    26       5   4.81382776e-04   1.15919566e-01  
    26       6   2.78639922e-04   8.61059139e-02  
    26       7   1.49460390e-04   4.64769797e-02  
    26       8   8.19399283e-05   4.26897314e-02  
    26       9   5.32048694e-05   1.08827886e-02  
    26      10   2.69630124e-05   1.92263878e-03  
    26      11   8.60365157e-06   1.39805584e-03  
    26      12   4.69758524e-06   6.39984446e-04  
    26      13   2.53035079e-06   2.89047522e-04  
    26      14   1.46585870e-06   6.72570766e-05  
    26      15   5.12018717e-07   7.02014688e-05  
    27       1   5.90136221e-02   9.95249823e-01  
    27       2   8.01655613e-03   5.43348664e-01  
    27       3   1.18871529e-03   7.98099768e-01  
    27       4   1.15310611e-03   5.85034093e-01  
    27       5   5.83481193e-04   2.75759425e-01  
    27       6   3.37840778e-04   6.29434640e-02  
    27       7   1.65235225e-04   5.08574661e-03  
    27       8   6.46459142e-05   5.90955210e-03  
    27       9   3.78877736e-05   1.02120559e-03  
    27      10   1.64965432e-05   7.49819303e-03  
    27      11   7.17430143e-06   8.40420861e-04  
    27      12   4.10359972e-06   1.14517463e-03  
    27      13   1.85681819e-06   1.51575202e-04  
    27      14   9.92578225e-07   1.25622204e-04  
    28       1   5.67517761e-02   9.95275161e-01  
    28       2   7.97636772e-03   6.39689196e-01  
    28       3   9.03267349e-04   7.16516657e-01  
    28       4   5.91222663e-04   1.32957991e-01  
    28       5   2.76633915e-04   1.11024734e-01  
    28       6   1.69550554e-04   2.92080291e-02  
    28       7   8.10350438e-05   1.46995582e-02  
    28       8   3.85562088e-05   2.04309662e-03  
    28       9   1.50720640e-05   4.48333442e-03  
    28      10   1.00496023e-05   2.33469134e-03  
    28      11   4.29020044e-06   9.09179927e-04  
    28      12   2.52636898e-06   3.90625795e-05  
    28      13   1.09858226e-06   2.66806562e-04  
    28      14   6.38588210e-07   1.53791693e-04  
    29       1   5.46355753e-02   9.95293703e-01  
    29       2   8.83553029e-03   6.71440576e-01  
    29       3   1.54313205e-03   3.59913991e-01  
    29       4   9.45019427e-04   1.41359918e-01  
    29       5   4.40482732e-04   4.44362505e-02  
    29       6   2.11073881e-04   1.04405455e-01  
    29       7   1.13726856e-04   1.97584619e-02  
    29       8   6.04398673e-05   1.09335388e-02  
    29       9   3.24612976e-05   4.56212030e-03  
